name,latitude,longitude,free_bikes
"001023 - River Street , Clerkenwell",51.52916347,-0.109970527,2
"001018 - Phillimore Gardens, Kensington",51.49960695,-0.197574246,19
"001012 - Christopher Street, Liverpool Street",51.52128377,-0.084605692,21
"001024 - Park Street, Bankside",51.50597426,-0.092754157,18
"001022 - Brunswick Square, Bloomsbury",51.52395143,-0.122502346,24
"000980 - Malet Street, Bloomsbury",51.52168078,-0.130431727,30
"001011 - Belgrove Street , King's Cross",51.52994371,-0.123616824,23
"001010 - Cartwright Gardens , Bloomsbury",51.52635795,-0.125979294,20
"001007 - Drury Lane, Covent Garden",51.51477076,-0.12221963,25
"001009 - Taviton Street, Bloomsbury",51.52505093,-0.131161087,4
"000993 - Drummond Street , Euston",51.527326,-0.13605286,20
"001019 - Ampton Street , Clerkenwell",51.52728093,-0.11829517,6
"001025 - Bolsover Street, Fitzrovia",51.52351808,-0.143613641,7
"001029 - Windsor Terrace, Hoxton",51.52915444,-0.093421615,9
"003446 - De Vere Gardens, Kensington",51.50173726,-0.184980612,5
"003445 - Shoreditch High Street, Shoreditch",51.5263778,-0.078130921,3
"001084 - Pindar Street, Liverpool Street",51.520955,-0.083493552,8
"001036 - Crawford Street, Marylebone",51.52026,-0.157183945,7
"000971 - Godliman Street, St. Paul's",51.51248445,-0.099141408,7
"001054 - East Road, Hoxton",51.52867339,-0.087459376,13
"001026 - Roscoe Street, St. Luke's",51.52295439,-0.094934859,9
"003431 - Grafton Street, Mayfair",51.5099923,-0.143495266,4
"001033 - Paddington Street, Marylebone",51.52058381,-0.154701411,12
"001032 - New Inn Yard, Shoreditch",51.52452699,-0.079248081,12
"001030 - Lisson Grove, St. John's Wood",51.52644828,-0.172190727,8
"001028 - William IV Street, Strand",51.50946212,-0.124749274,21
"000982 - Holborn Circus, Holborn",51.51795029,-0.108657431,7
"000975 - Theobald's Road , Holborn",51.52059681,-0.116688468,2
"001064 - Old Street Station, St. Luke's",51.52548,-0.089659871,29
"000978 - Russell Square Station, Bloomsbury",51.52341837,-0.124121774,26
"001038 - Harrington Square 1, Camden Town",51.53301907,-0.139174593,4
"002586 - Cloudesley Road, Angel",51.53440868,-0.109025404,7
"001065 - Aldersgate Street, Barbican",51.5208417,-0.097340162,3
"001047 - Falkirk Street, Hoxton",51.53095071,-0.078505384,15
"001045 - Jewry Street, Aldgate",51.51340693,-0.076793375,17
"000991 - Crosswall, Tower",51.51159481,-0.077121322,22
"001042 - Woodstock Street, Mayfair",51.51410514,-0.147301667,5
"001049 - Finsbury Leisure Centre, St. Luke's",51.52600832,-0.096317627,2
"003429 - Abbey Orchard Street, Westminster",51.49812559,-0.132102166,27
"001052 - Soho Square , Soho",51.51563144,-0.132328837,54
"001055 - Wellington Road, St. John's Wood",51.53304322,-0.172528678,12
"001037 - Park Lane , Hyde Park",51.5100172,-0.157275636,2
"001050 - Park Road (Baker Street), The Regent's Park",51.52451738,-0.158963647,14
"000995 - Little Argyll Street, West End",51.51449962,-0.141423695,19
"003457 - Rochester Row, Westminster",51.49582705,-0.13547809,11
"001043 - Museum of London, Barbican",51.51782144,-0.096496865,38
"001116 - Emperor's Gate, South Kensington",51.49536226,-0.185296516,17
"001039 - Wapping High Street, Wapping",51.504904,-0.06797,0
"001053 - Clerkenwell Green, Clerkenwell",51.52326004,-0.104708922,5
"001048 - Queen Victoria Street, St. Paul's",51.51196176,-0.097441687,8
"003464 - Green Street, Mayfair",51.51227622,-0.157436972,12
"001056 - Finsbury Square , Moorgate",51.52096262,-0.085634242,12
"001093 - Kennington Cross, Kennington",51.48894022,-0.111435796,22
"001115 - Ilchester Place, Kensington",51.50074359,-0.202759212,20
"001046 - Vauxhall Bridge , Pimlico",51.48836528,-0.129361842,4
"003456 - Portugal Street, Holborn",51.51494305,-0.11614642,0
"001118 - Hampton Street, Walworth",51.49217002,-0.101536865,16
"001121 - Lexham Gardens, Kensington",51.49586666,-0.191933711,9
"001113 - Trebovir Road, Earl's Court",51.49085368,-0.196170309,8
"003458 - Waterloo Place, St. James's",51.50663341,-0.131773845,1
"003478 - Guildhouse Street, Victoria",51.49234577,-0.141334487,12
"001123 - Southampton Place, Holborn",51.51760685,-0.121328408,11
"003461 - Sloane Avenue, Knightsbridge",51.4931848,-0.167894973,14
"002585 - Orsett Terrace, Bayswater",51.517932,-0.183716959,7
"003463 - Argyll Road, Kensington",51.50040123,-0.195455928,17
"003477 - Porchester Place, Paddington",51.5147461,-0.1651640000000043,3
"003459 - Collingham Gardens, Earl's Court",51.4916156,-0.186753859,2
"001124 - Sumner Place, South Kensington",51.49121192,-0.173715911,2
"001122 - Ashley Place, Victoria",51.49616092,-0.140947636,25
"003460 - Warwick Square, Pimlico",51.48985626,-0.141923621,5
"001126 - North Audley Street, Mayfair",51.5129118,-0.153645496,13
"003473 - Belgrave Square, Belgravia",51.49941247,-0.152317537,1
"001167 - South Wharf Road, Paddington",51.51733558,-0.175810943,4
"001112 - Nutford Place, Marylebone",51.5165179,-0.164393768,13
"001163 - Wardour Street, Soho",51.51251523,-0.133201961,16
"000960 - Hop Exchange, The Borough",51.50462759,-0.091773776,55
"001080 - Great Tower Street, Monument",51.51048489,-0.082989638,8
"001102 - Leman Street, Aldgate",51.51236389,-0.06954201,6
"001040 - West Smithfield Rotunda, Farringdon",51.51821864,-0.100791005,2
"003468 - Margery Street, Clerkenwell",51.52659961,-0.112432615,3
"003476 - Hinde Street, Marylebone",51.51681444,-0.151926305,2
"001079 - Endsleigh Gardens, Euston",51.52683806,-0.130504336,17
"001092 - Moorfields, Moorgate",51.51906932,-0.088285377,31
"003479 - Old Brompton Road, South Kensington",51.49094565,-0.181190899,11
