name,location,categories,rating,Type,latitude,longitude,free_bikes,price_num
Leicester Square Gardens,"001163 - Wardour Street, Soho","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",3.5,Park,51.51251523,-0.133201961,16,
Leicester Square,"001163 - Wardour Street, Soho","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,Park,51.51251523,-0.133201961,16,
Allen Gardens,"200003 - Cheshire Street, Bethnal Green","[{'alias': 'parks', 'title': 'Parks'}]",5.0,Park,51.52388,-0.065076,18,
Weavers Fields,"200003 - Cheshire Street, Bethnal Green","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.52388,-0.065076,18,
Myddelton Square Park,"001104 - Claremont Square, Angel","[{'alias': 'parks', 'title': 'Parks'}]",3.0,Park,51.53166681,-0.109914711,11,
St George's Gardens,"001019 - Ampton Street , Clerkenwell","[{'alias': 'parks', 'title': 'Parks'}]",5.0,Park,51.52728093,-0.11829517,6,
Argyle Square,"001019 - Ampton Street , Clerkenwell","[{'alias': 'parks', 'title': 'Parks'}]",3.0,Park,51.52728093,-0.11829517,6,
Soho Square,"001052 - Soho Square , Soho","[{'alias': 'parks', 'title': 'Parks'}]",3.5,Park,51.51563144,-0.132328837,54,
St Martin's Gardens,"200026 - Greenland Road, Camden Town","[{'alias': 'parks', 'title': 'Parks'}]",5.0,Park,51.539099,-0.141728,35,
Argyle Square,"001013 - St. Chad's Street, King's Cross","[{'alias': 'parks', 'title': 'Parks'}]",3.0,Park,51.53005939,-0.120973687,13,
Sky Garden,"001080 - Great Tower Street, Monument","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,Park,51.51048489,-0.082989638,8,
Goldington Crescent Gardens,"003428 - Pancras Road, King's Cross","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.5341235,-0.129386874,11,
Polygon Road Open Space,"003428 - Pancras Road, King's Cross","[{'alias': 'parks', 'title': 'Parks'}]",2.0,Park,51.5341235,-0.129386874,11,
Purchese Street Open Space,"003428 - Pancras Road, King's Cross","[{'alias': 'parks', 'title': 'Parks'}]",3.0,Park,51.5341235,-0.129386874,11,
Aske Gardens,"001054 - East Road, Hoxton","[{'alias': 'tennis', 'title': 'Tennis'}, {'alias': 'parks', 'title': 'Parks'}]",5.0,Park,51.52867339,-0.087459376,13,
Paddington Street Gardens,"001033 - Paddington Street, Marylebone","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.52058381,-0.154701411,12,
Mount Street Gardens,"002678 - Farm Street, Mayfair","[{'alias': 'parks', 'title': 'Parks'}]",4.5,Park,51.50935171,-0.14744969,4,
Berkeley Square,"002678 - Farm Street, Mayfair","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.50935171,-0.14744969,4,
Grosvenor Square,"010627 - Grosvenor Square, Mayfair","[{'alias': 'parks', 'title': 'Parks'}]",5.0,Park,51.51217033,-0.150481272,9,
Brown Hart Gardens,"010627 - Grosvenor Square, Mayfair","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.51217033,-0.150481272,9,
September 11 Memorial Garden,"010627 - Grosvenor Square, Mayfair","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,Park,51.51217033,-0.150481272,9,
St. John's Gardens,"200048 - Page Street, Westminster","[{'alias': 'parks', 'title': 'Parks'}]",4.5,Park,51.493978,-0.127554,21,
Big Ben,"300249 - Westminster Pier, Westminster","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,Park,51.501513,-0.12382322,19,
Westminster Abbey,"300249 - Westminster Pier, Westminster","[{'alias': 'churches', 'title': 'Churches'}, {'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,Park,51.501513,-0.12382322,19,
Houses of Parliament,"300249 - Westminster Pier, Westminster","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,Park,51.501513,-0.12382322,19,
barons court,"300249 - Westminster Pier, Westminster","[{'alias': 'parks', 'title': 'Parks'}]",3.0,Park,51.501513,-0.12382322,19,
Finsbury Avenue Square,"000984 - Finsbury Circus, Liverpool Street","[{'alias': 'parks', 'title': 'Parks'}]",3.5,Park,51.51707521,-0.086685542,3,
Finsbury Circus Garden,"000984 - Finsbury Circus, Liverpool Street","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.51707521,-0.086685542,3,
Gordon Square,"001079 - Endsleigh Gardens, Euston","[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",3.5,Park,51.52683806,-0.130504336,17,
St Luke's Gardens,"003486 - St. Luke's Church, Chelsea","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.48971651,-0.170194408,17,
South Bank,"001186 - Belvedere Road 1, South Bank","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,Park,51.50613324,-0.114686385,20,
Fortune Street Park,"001026 - Roscoe Street, St. Luke's","[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'playgrounds', 'title': 'Playgrounds'}]",4.0,Park,51.52295439,-0.094934859,9,
St George's Gardens,"003439 - Tavistock Place, Bloomsbury","[{'alias': 'parks', 'title': 'Parks'}]",5.0,Park,51.5262503,-0.123509611,12,
Corams Fields,"003439 - Tavistock Place, Bloomsbury","[{'alias': 'playgrounds', 'title': 'Playgrounds'}, {'alias': 'parks', 'title': 'Parks'}]",4.5,Park,51.5262503,-0.123509611,12,
Leathermarket Gardens,"200193 - Snowsfields, London Bridge","[{'alias': 'parks', 'title': 'Parks'}]",5.0,Park,51.50215353,-0.083632928,31,
The View From The Shard,"200193 - Snowsfields, London Bridge","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,Park,51.50215353,-0.083632928,31,
Tanner Street Park,"200193 - Snowsfields, London Bridge","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.50215353,-0.083632928,31,
Bernie Spain Gardens,"000959 - Milroy Walk, South Bank","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.50724437,-0.106237501,27,
Waterloo Millennium Green,"001072 - Waterloo Station 3, Waterloo","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.50379168,-0.11282408,24,
St. Johns Church,"001072 - Waterloo Station 3, Waterloo","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,Park,51.50379168,-0.11282408,24,
Millennium Green,"001072 - Waterloo Station 3, Waterloo","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.50379168,-0.11282408,24,
Gray's Inn Fields,"003425 - Northington Street , Holborn","[{'alias': 'parks', 'title': 'Parks'}]",3.5,Park,51.5222641,-0.114079481,2,
Chelsea Bridge,"022160 - Chelsea Bridge, Pimlico","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",5.0,Park,51.485821,-0.149004,6,
Goldington Crescent Gardens,"002686 - Royal College Street, Camden Town","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.536264,-0.133952,7,
Hoxton Garden,"001047 - Falkirk Street, Hoxton","[{'alias': 'education', 'title': 'Education'}, {'alias': 'parks', 'title': 'Parks'}]",5.0,Park,51.53095071,-0.078505384,15,
St John's Wood Church Gardens,"001055 - Wellington Road, St. John's Wood","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.53304322,-0.172528678,12,
Argyle Square,"300205 - Cromer Street, Bloomsbury","[{'alias': 'parks', 'title': 'Parks'}]",3.0,Park,51.528279,-0.11955857,23,
Kings Square Gardens,"003433 - Sadlers Sports Centre, Finsbury","[{'alias': 'parks', 'title': 'Parks'}]",4.5,Park,51.52486887,-0.099489485,1,
Vauxhall Gardens,"200056 - Vauxhall Walk, Vauxhall","[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'horsebackriding', 'title': 'Horseback Riding'}, {'alias': 'playgrounds', 'title': 'Playgrounds'}]",4.0,Park,51.488124,-0.120903,26,
Waterloo Millennium Green,"001133 - Baylis Road, Waterloo","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.50144456,-0.110699309,22,
House Of VANS London,"001133 - Baylis Road, Waterloo","[{'alias': 'skate_parks', 'title': 'Skate Parks'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]",3.5,Park,51.50144456,-0.110699309,22,2.0
St. Johns Church,"001133 - Baylis Road, Waterloo","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,Park,51.50144456,-0.110699309,22,
Millennium Green,"001133 - Baylis Road, Waterloo","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.50144456,-0.110699309,22,
Crispin Street Women's Refuge,"003483 - Fashion Street, Whitechapel","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",3.0,Park,51.51838043,-0.073438925,25,
Exchange Square,"001068 - Norton Folgate, Liverpool Street","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.52111369,-0.078869751,20,
Holland Park,"200111 - Abbotsbury Road, Holland Park","[{'alias': 'parks', 'title': 'Parks'}]",4.5,Park,51.501391,-0.205991,10,
Kyoto Garden in Holland Park,"200111 - Abbotsbury Road, Holland Park","[{'alias': 'parks', 'title': 'Parks'}]",4.5,Park,51.501391,-0.205991,10,
Fitzrovia Square,"001025 - Bolsover Street, Fitzrovia","[{'alias': 'parks', 'title': 'Parks'}]",3.0,Park,51.52351808,-0.143613641,7,
Mile End Park Leisure Centre,"300056 - Mile End Stadium, Mile End","[{'alias': 'recreation', 'title': 'Recreation Centers'}]",4.5,Park,51.51854104,-0.034903714,9,
Jubilee Gardens,"001212 - Concert Hall Approach 2, South Bank","[{'alias': 'parks', 'title': 'Parks'}]",3.5,Park,51.504942,-0.115533,13,
Aquadrome,"001160 - Craven Street, Strand","[{'alias': 'lakes', 'title': 'Lakes'}]",4.0,Park,51.50810309,-0.12602103,21,
Trafalgar Square,"001160 - Craven Street, Strand","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,Park,51.50810309,-0.12602103,21,
The River Lea,"001160 - Craven Street, Strand","[{'alias': 'parks', 'title': 'Parks'}]",4.5,Park,51.50810309,-0.12602103,21,
St John's Wood Church Gardens,"200236 - Greenberry Street, St.John's Wood","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.53256,-0.16862,4,
Victoria Park,"200030 - Driffield Road, Old Ford","[{'alias': 'parks', 'title': 'Parks'}]",4.5,Park,51.534137,-0.037366,2,
Bloomsbury Square Gardens,"000988 - Great Russell Street, Bloomsbury","[{'alias': 'parks', 'title': 'Parks'}]",3.5,Park,51.51772703,-0.127854211,15,
Russell Square,"300201 - Coram Street, Bloomsbury","[{'alias': 'parks', 'title': 'Parks'}]",4.5,Park,51.524,-0.12640984,16,
Russell Park,"300201 - Coram Street, Bloomsbury","[{'alias': 'parks', 'title': 'Parks'}]",3.5,Park,51.524,-0.12640984,16,
Notting Hill,"300090 - Blenheim Crescent, Ladbroke Grove","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,Park,51.51510818,-0.208565479,3,
Haggerston Park,"200159 - Goldsmith's Row, Haggerston","[{'alias': 'parks', 'title': 'Parks'}]",4.5,Park,51.531864,-0.066035,19,
Marble Arch,"001085 - Old Quebec Street, Marylebone","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",3.5,Park,51.51457763,-0.158264483,11,
Cavendish Square,"001152 - Marylebone Lane, Marylebone","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.51475963,-0.148105415,9,
Brown Hart Gardens,"001152 - Marylebone Lane, Marylebone","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.51475963,-0.148105415,9,
Paddington Street Gardens,"001036 - Crawford Street, Marylebone","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.52026,-0.157183945,7,
Albert Memorial,"001193 - Kensington Gore, Knightsbridge","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,Park,51.50143293,-0.178656971,5,
South Kensington Milestone,"001193 - Kensington Gore, Knightsbridge","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",5.0,Park,51.50143293,-0.178656971,5,
Notting Hill Gate,"002633 - Palace Gardens Terrace, Notting Hill","[{'alias': 'trainstations', 'title': 'Train Stations'}, {'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,Park,51.50860544,-0.193764092,5,
Larkhall Park,"200211 - Union Grove, Wandsworth Road","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.472993,-0.133972,25,
Upper and Lower Grosvenor Gardens,"300242 - Allington Street, Victoria","[{'alias': 'parks', 'title': 'Parks'}]",3.5,Park,51.496863,-0.1429434,25,
Upper and Lower Grosvenor Gardens,"000968 - Warwick Row, Westminster","[{'alias': 'parks', 'title': 'Parks'}]",3.5,Park,51.497998,-0.14296064,20,
Park Street Bench,"001015 - New Globe Walk, Bankside","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,Park,51.5073853,-0.096440751,18,
Southwark Bridge,"001015 - New Globe Walk, Bankside","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,Park,51.5073853,-0.096440751,18,
Millennium Bridge,"001015 - New Globe Walk, Bankside","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,Park,51.5073853,-0.096440751,18,
Channel Four Community Gardens,"003457 - Rochester Row, Westminster","[{'alias': 'parks', 'title': 'Parks'}]",5.0,Park,51.49582705,-0.13547809,11,
Larkhall Park,"200173 - Courland Grove, Wandsworth Road","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.4729184,-0.132102704,21,
Holland Park Lawn Tennis Club,"200218 - Addison Road, Holland Park","[{'alias': 'sports_clubs', 'title': 'Sports Clubs'}, {'alias': 'tennis', 'title': 'Tennis'}]",5.0,Park,51.504199,-0.210941,19,
Pimlico Gardens,"001135 - Claverton Street, Pimlico","[{'alias': 'parks', 'title': 'Parks'}]",3.0,Park,51.48483991,-0.138089062,28,
The Greenway,"300039 - Wendon Street, Old Ford","[{'alias': 'parks', 'title': 'Parks'}]",2.5,Park,51.53603947,-0.026262677,1,
Wellington Arch,"001169 - Grosvenor Crescent, Belgravia","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",3.5,Park,51.50135267,-0.153194766,13,
RAF Bomber Command Memorial,"001169 - Grosvenor Crescent, Belgravia","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",5.0,Park,51.50135267,-0.153194766,13,
Apsley House,"001169 - Grosvenor Crescent, Belgravia","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,Park,51.50135267,-0.153194766,13,
Vallance Gardens,"200135 - Selby Street, Whitechapel","[{'alias': 'parks', 'title': 'Parks'}]",3.0,Park,51.521905,-0.063386,11,
Golden Square,"003489 - Broadwick Street, Soho","[{'alias': 'parks', 'title': 'Parks'}]",3.5,Park,51.5136846,-0.135580879,16,
Soho Square,"003489 - Broadwick Street, Soho","[{'alias': 'parks', 'title': 'Parks'}]",3.5,Park,51.5136846,-0.135580879,16,
Regent's Canal,"300035 - Carnegie Street, King's Cross","[{'alias': 'parks', 'title': 'Parks'}]",4.5,Park,51.53546778,-0.11619105,22,
Mile End Park and Arts Pavilion,"200041 - Antill Road, Mile End","[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'museums', 'title': 'Museums'}]",3.5,Park,51.528224,-0.037471,13,
Hyde Park,"001075 - Hyde Park Corner, Hyde Park","[{'alias': 'parks', 'title': 'Parks'}]",4.5,Park,51.50311799,-0.153520935,16,
Wellington Arch,"001075 - Hyde Park Corner, Hyde Park","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",3.5,Park,51.50311799,-0.153520935,16,
RAF Bomber Command Memorial,"001075 - Hyde Park Corner, Hyde Park","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",5.0,Park,51.50311799,-0.153520935,16,
Apsley House,"001075 - Hyde Park Corner, Hyde Park","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,Park,51.50311799,-0.153520935,16,
Argyle Square,"300212 - Birkenhead Street, King's Cross","[{'alias': 'parks', 'title': 'Parks'}]",3.0,Park,51.5301998755,-0.122299440803,20,
Normand Park,"300008 - Normand Park, West Kensington","[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'playgrounds', 'title': 'Playgrounds'}]",3.0,Park,51.48438657,-0.20481514,19,
Cluny Mews Gardens,"001001 - West Cromwell Road, Earl's Court","[{'alias': 'parks', 'title': 'Parks'}]",3.0,Park,51.49372451,-0.198286569,12,
Diana Memorial Playground,"001157 - Black Lion Gate, Kensington Gardens","[{'alias': 'playgrounds', 'title': 'Playgrounds'}]",4.5,Park,51.50990837,-0.187842717,22,
St Luke's Gardens,"001179 - Chelsea Green, Chelsea","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.49066456,-0.166485083,12,
Chelsea Green,"001179 - Chelsea Green, Chelsea","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.49066456,-0.166485083,12,
Bernie Spain Gardens,"000962 - Stamford Street, South Bank","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.50556905,-0.111606696,24,
South Bank,"000962 - Stamford Street, South Bank","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,Park,51.50556905,-0.111606696,24,
Italian Gardens,"001096 - Bayswater Road, Hyde Park","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.511933,-0.174411,10,
Bernie Spain Gardens,"200144 - Sea Containers, South Bank","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.508033,-0.10682363,11,
Brixton Recreation Centre,"200240 - Ferndale Road, Brixton","[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'recreation', 'title': 'Recreation Centers'}]",3.0,Park,51.464019,-0.11578197,29,
London Fields,"200025 - London Fields, Hackney Central","[{'alias': 'parks', 'title': 'Parks'}]",4.5,Park,51.54119,-0.058826101,21,
St. John-at-Hackney Church Gardens,"200025 - London Fields, Hackney Central","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.54119,-0.058826101,21,
Play Area,"200025 - London Fields, Hackney Central","[{'alias': 'professional', 'title': 'Professional Services'}, {'alias': 'kids_activities', 'title': 'Kids Activities'}, {'alias': 'parks', 'title': 'Parks'}]",4.5,Park,51.54119,-0.058826101,21,
Green Park,"200096 - Green Park Station, Mayfair","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.506613,-0.142844,10,
Spencer House,"200096 - Green Park Station, Mayfair","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",3.5,Park,51.506613,-0.142844,10,
Crabtree Fields,"003507 - Store Street, Bloomsbury","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.519572,-0.13214036,1,
Ridgmount Gardens,"003507 - Store Street, Bloomsbury","[{'alias': 'parks', 'title': 'Parks'}]",2.0,Park,51.519572,-0.13214036,1,
Bloomsbury Square Gardens,"003507 - Store Street, Bloomsbury","[{'alias': 'parks', 'title': 'Parks'}]",3.5,Park,51.519572,-0.13214036,1,
Malet Street Gardens,"003507 - Store Street, Bloomsbury","[{'alias': 'parks', 'title': 'Parks'}]",4.0,Park,51.519572,-0.13214036,1,
