location,name,poi_type,rating,price,Type,latitude,longitude,free_bikes
"003486 - St. Luke's Church, Chelsea",St Luke's Garden,['Park'],,,Park,51.48971651,-0.170194408,17
"003486 - St. Luke's Church, Chelsea",Lennox Gardens,['Park'],,,Park,51.48971651,-0.170194408,17
"003486 - St. Luke's Church, Chelsea",Cadogan Square Small Garden Limited,"['Property Management Office', 'Real Estate Agency']",,,Park,51.48971651,-0.170194408,17
"003486 - St. Luke's Church, Chelsea",Markham Square,['Park'],,,Park,51.48971651,-0.170194408,17
"003486 - St. Luke's Church, Chelsea",Tedworth Square,['Park'],,,Park,51.48971651,-0.170194408,17
"003486 - St. Luke's Church, Chelsea",Chelsea Embankment Gardens,['Park'],,,Park,51.48971651,-0.170194408,17
"003486 - St. Luke's Church, Chelsea",Hereford Square,['Park'],,,Park,51.48971651,-0.170194408,17
"003486 - St. Luke's Church, Chelsea",Holy Trinity Brompton Garden,['Park'],,,Park,51.48971651,-0.170194408,17
"003486 - St. Luke's Church, Chelsea",St Luke's Playground,['Playground'],,,Park,51.48971651,-0.170194408,17
"003486 - St. Luke's Church, Chelsea",The Chelsea Gardener,['Garden Center'],,,Park,51.48971651,-0.170194408,17
"200187 - Morie Street, Wandsworth",Bramford Gardens,['Park'],,,Park,51.45995384,-0.190184054,9
"200187 - Morie Street, Wandsworth",King's Arms,['Pub'],,,Park,51.45995384,-0.190184054,9
"200187 - Morie Street, Wandsworth",Christmas at the Hurlingham Club,['Sports Club'],,,Park,51.45995384,-0.190184054,9
"200187 - Morie Street, Wandsworth",The Grapes,['Pub'],,,Park,51.45995384,-0.190184054,9
"200187 - Morie Street, Wandsworth",Bramford Gardens Play Space,['Playground'],,,Park,51.45995384,-0.190184054,9
"200187 - Morie Street, Wandsworth",Wandsworth Park Playground,['Playground'],,,Park,51.45995384,-0.190184054,9
"200187 - Morie Street, Wandsworth",King George's Park Playground,['Playground'],,,Park,51.45995384,-0.190184054,9
"200187 - Morie Street, Wandsworth",1 Hardwick's Square Car Park,['Parking'],,,Park,51.45995384,-0.190184054,9
"200187 - Morie Street, Wandsworth",NCP Wandsworth Southside 2,['Parking'],,,Park,51.45995384,-0.190184054,9
"200187 - Morie Street, Wandsworth",McDonald's,"['Burger Joint', 'Fast Food Restaurant']",,,Park,51.45995384,-0.190184054,9
"022180 - Cheapside, Bank",Postman's Park,['Park'],,,Park,51.51397065,-0.09294031,10
"022180 - Cheapside, Bank",St Paul's Churchyard,['Park'],,,Park,51.51397065,-0.09294031,10
"022180 - Cheapside, Bank",Tate Modern Gardens,['Park'],,,Park,51.51397065,-0.09294031,10
"022180 - Cheapside, Bank",Finsbury Circus,['Urban Park'],,,Park,51.51397065,-0.09294031,10
"022180 - Cheapside, Bank",Fortune Street Park,['Park'],,,Park,51.51397065,-0.09294031,10
"022180 - Cheapside, Bank",Smithfield Rotunda Garden,['Park'],,,Park,51.51397065,-0.09294031,10
"022180 - Cheapside, Bank",Saint Bartholemew the Great,['Park'],,,Park,51.51397065,-0.09294031,10
"022180 - Cheapside, Bank",Beech Gardens,['Botanical Garden'],,,Park,51.51397065,-0.09294031,10
"022180 - Cheapside, Bank",Carter Lane Gardens,['Garden'],,,Park,51.51397065,-0.09294031,10
"022180 - Cheapside, Bank",St Olave Silver Street,['Park'],,,Park,51.51397065,-0.09294031,10
"001012 - Christopher Street, Liverpool Street",Arnold Circus,['Monument'],,,Park,51.52128377,-0.084605692,21
"001012 - Christopher Street, Liverpool Street",Hoxton Square,['Park'],,,Park,51.52128377,-0.084605692,21
"001012 - Christopher Street, Liverpool Street",St. Luke's Church Gardens,['Park'],,,Park,51.52128377,-0.084605692,21
"001012 - Christopher Street, Liverpool Street",Brick Lane Park,['Park'],,,Park,51.52128377,-0.084605692,21
"001012 - Christopher Street, Liverpool Street",Finsbury Circus,['Urban Park'],,,Park,51.52128377,-0.084605692,21
"001012 - Christopher Street, Liverpool Street",Bunhill Fields,['Monument'],,,Park,51.52128377,-0.084605692,21
"001012 - Christopher Street, Liverpool Street",Fortune Street Park,['Park'],,,Park,51.52128377,-0.084605692,21
"001012 - Christopher Street, Liverpool Street",Beech Gardens,['Botanical Garden'],,,Park,51.52128377,-0.084605692,21
"001012 - Christopher Street, Liverpool Street",Radnor Street Open Space,['Playground'],,,Park,51.52128377,-0.084605692,21
"001012 - Christopher Street, Liverpool Street",Royal Oak Court,['Park'],,,Park,51.52128377,-0.084605692,21
"001008 - Hatton Wall, Holborn",Lincoln's Inn Fields,['Park'],,,Park,51.5216612,-0.109006325,6
"001008 - Hatton Wall, Holborn",Postman's Park,['Park'],,,Park,51.5216612,-0.109006325,6
"001008 - Hatton Wall, Holborn",Myddelton Square,['Park'],,,Park,51.5216612,-0.109006325,6
"001008 - Hatton Wall, Holborn",Spa Fields,['Park'],,,Park,51.5216612,-0.109006325,6
"001008 - Hatton Wall, Holborn",Coram's Fields,['Playground'],,,Park,51.5216612,-0.109006325,6
"001008 - Hatton Wall, Holborn",Gray's Inn Gardens,['Park'],,,Park,51.5216612,-0.109006325,6
"001008 - Hatton Wall, Holborn",Brunswick Square Gardens,['Park'],,,Park,51.5216612,-0.109006325,6
"001008 - Hatton Wall, Holborn",King Square Gardens,['Park'],,,Park,51.5216612,-0.109006325,6
"001008 - Hatton Wall, Holborn",St John's Gardens,['Park'],,,Park,51.5216612,-0.109006325,6
"001008 - Hatton Wall, Holborn",Smithfield Rotunda Garden,['Park'],,,Park,51.5216612,-0.109006325,6
"001065 - Aldersgate Street, Barbican",Postman's Park,['Park'],,,Park,51.5208417,-0.097340162,3
"001065 - Aldersgate Street, Barbican",St. Luke's Church Gardens,['Park'],,,Park,51.5208417,-0.097340162,3
"001065 - Aldersgate Street, Barbican",St Paul's Churchyard,['Park'],,,Park,51.5208417,-0.097340162,3
"001065 - Aldersgate Street, Barbican",King Square Gardens,['Park'],,,Park,51.5208417,-0.097340162,3
"001065 - Aldersgate Street, Barbican",Spa Fields,['Park'],,,Park,51.5208417,-0.097340162,3
"001065 - Aldersgate Street, Barbican",Fortune Street Park,['Park'],,,Park,51.5208417,-0.097340162,3
