id,name,location,categories,rating,price
b-A6mRGgBoyB9niaOwpbFA,St Luke's Gardens,"003486 - St. Luke's Church, Chelsea","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
wgI3jPYGKeecEWQXGeQMnQ,Chelsea Physic Garden,"003486 - St. Luke's Church, Chelsea","[{'alias': 'gardens', 'title': 'Botanical Gardens'}]",4.5,
_B-fzT9JpDUkPef_FC3v_g,Chelsea Green,"003486 - St. Luke's Church, Chelsea","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
uBSCU3XnXVwpUiihxM5uMg,The Chelsea Flower Show,"003486 - St. Luke's Church, Chelsea","[{'alias': 'gardens', 'title': 'Botanical Gardens'}]",4.0,
jFmXPasxO9TdyUXMuHVn1A,Imperial Camel Corps Memorial,"003486 - St. Luke's Church, Chelsea","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,
HMfrxPlFjGkGWrSjaCDKDA,Albert Bridge,"003486 - St. Luke's Church, Chelsea","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",5.0,
I3zpJHvI1knb8oVxvc7DTw,Spencer Park,"200187 - Morie Street, Wandsworth","[{'alias': 'parks', 'title': 'Parks'}]",4.5,
So6ZMRwmFimtphlwI5D5og,Fortune Street Park,"022180 - Cheapside, Bank","[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'playgrounds', 'title': 'Playgrounds'}]",4.0,
ZxE-xcISKLCXbpleS4GBNQ,Postman's Park,"022180 - Cheapside, Bank","[{'alias': 'parks', 'title': 'Parks'}]",4.5,
dae1kZnchtEOBkANdKNSsQ,Finsbury Circus Garden,"022180 - Cheapside, Bank","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
eo1r-U5DgtcLiaoTDC1FDQ,Finsbury Avenue Square,"022180 - Cheapside, Bank","[{'alias': 'parks', 'title': 'Parks'}]",3.5,
vhFUOJjcI-3xkoJ_zoJPNQ,West Smithfield Garden,"022180 - Cheapside, Bank","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
VjETMdfwlAcTenBK9PE-zw,Russell Park,"022180 - Cheapside, Bank","[{'alias': 'parks', 'title': 'Parks'}]",5.0,
YKJBj-_FsLFM1r0su2yZXw,Park Street Bench,"022180 - Cheapside, Bank","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,
mvs07Hrm2YrwObqDubABFg,St. Paul's Cathedral,"022180 - Cheapside, Bank","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'churches', 'title': 'Churches'}]",4.5,
h65i1MG-qok2e2eFU_1h1w,Sky Garden,"022180 - Cheapside, Bank","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,
ngeXAPaOMzK8IEFqYl81cA,Charterhouse Square,"022180 - Cheapside, Bank","[{'alias': 'parks', 'title': 'Parks'}]",3.5,
xJkrmNOX-Zio4YBChuYqkA,Southwark Bridge,"022180 - Cheapside, Bank","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,
qaSQQRWgxlWgGgQPHbfgbA,Millennium Bridge,"022180 - Cheapside, Bank","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,
2YTaHxoM71W1JMTTvHmr5w,Exchange Square,"022180 - Cheapside, Bank","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
_vBRaIQ-Is53cZXLFInIIQ,St Alphage's Church Ruins,"022180 - Cheapside, Bank","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'localflavor', 'title': 'Local Flavor'}]",3.0,
kykk6Po1KffOx0jUQznDZA,London Bridge,"022180 - Cheapside, Bank","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,
oMsnFxtMvVgEM0l5ktF2iQ,City Of London,"022180 - Cheapside, Bank","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",5.0,
zdHghDU5M_D-8Ud9bOYXug,Paternoster Square,"022180 - Cheapside, Bank","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",3.0,
So6ZMRwmFimtphlwI5D5og,Fortune Street Park,"001012 - Christopher Street, Liverpool Street","[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'playgrounds', 'title': 'Playgrounds'}]",4.0,
Jzayo0zLKptuOmKuMemGnw,Aske Gardens,"001012 - Christopher Street, Liverpool Street","[{'alias': 'tennis', 'title': 'Tennis'}, {'alias': 'parks', 'title': 'Parks'}]",5.0,
eo1r-U5DgtcLiaoTDC1FDQ,Finsbury Avenue Square,"001012 - Christopher Street, Liverpool Street","[{'alias': 'parks', 'title': 'Parks'}]",3.5,
CohGV9VRkYfJZBT4WO8tZA,Quaker Gardens,"001012 - Christopher Street, Liverpool Street","[{'alias': 'parks', 'title': 'Parks'}]",3.0,
mAqrs8IPOi6abaa1fx9-ug,Kings Square Gardens,"001012 - Christopher Street, Liverpool Street","[{'alias': 'parks', 'title': 'Parks'}]",4.5,
ZxE-xcISKLCXbpleS4GBNQ,Postman's Park,"001012 - Christopher Street, Liverpool Street","[{'alias': 'parks', 'title': 'Parks'}]",4.5,
2YTaHxoM71W1JMTTvHmr5w,Exchange Square,"001012 - Christopher Street, Liverpool Street","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
TCbvbuqDMtgDBP-vt0uedA,Banksy Graffiti Artist,"001012 - Christopher Street, Liverpool Street","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'localflavor', 'title': 'Local Flavor'}]",4.5,
IrRYVfZ1hpyp4Wc1jsRTjA,Bunhill Fields,"001012 - Christopher Street, Liverpool Street","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'parks', 'title': 'Parks'}]",4.0,
HwP4GaJgEBwKttZUQmOoMQ,Hoxton Square,"001012 - Christopher Street, Liverpool Street","[{'alias': 'parks', 'title': 'Parks'}]",3.5,
Qe4_OLJUXOb5cPwPBF3mUQ,Featherstone Street Benches,"001012 - Christopher Street, Liverpool Street","[{'alias': 'parks', 'title': 'Parks'}]",3.0,
dae1kZnchtEOBkANdKNSsQ,Finsbury Circus Garden,"001012 - Christopher Street, Liverpool Street","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
ngeXAPaOMzK8IEFqYl81cA,Charterhouse Square,"001012 - Christopher Street, Liverpool Street","[{'alias': 'parks', 'title': 'Parks'}]",3.5,
-9kx0pW2tUZ8gY23O6jTrQ,Radnor Street Gardens,"001012 - Christopher Street, Liverpool Street","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
oURNLqgIS_yh6OLbQHbgqQ,Crispin Street Women's Refuge,"001012 - Christopher Street, Liverpool Street","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",3.0,
_vBRaIQ-Is53cZXLFInIIQ,St Alphage's Church Ruins,"001012 - Christopher Street, Liverpool Street","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'localflavor', 'title': 'Local Flavor'}]",3.0,
KFWQB0Stcu-NCxJoaWU-yA,Spa Fields,"001008 - Hatton Wall, Holborn","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
mAqrs8IPOi6abaa1fx9-ug,Kings Square Gardens,"001008 - Hatton Wall, Holborn","[{'alias': 'parks', 'title': 'Parks'}]",4.5,
7blM2EKJ4dr3HPh-ibrUpA,Gray's Inn Fields,"001008 - Hatton Wall, Holborn","[{'alias': 'parks', 'title': 'Parks'}]",3.5,
ReHbOe5Vxz2oih5Sb7jn8w,St George's Gardens,"001008 - Hatton Wall, Holborn","[{'alias': 'parks', 'title': 'Parks'}]",5.0,
t8HD34kttZkWnVOMAAbIFw,Corams Fields,"001008 - Hatton Wall, Holborn","[{'alias': 'playgrounds', 'title': 'Playgrounds'}, {'alias': 'parks', 'title': 'Parks'}]",4.5,
LuhPK1RBqhf_bjL0W5ak-g,Lincoln's Inn,"001008 - Hatton Wall, Holborn","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
vhFUOJjcI-3xkoJ_zoJPNQ,West Smithfield Garden,"001008 - Hatton Wall, Holborn","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
yIRgZeXBu-FlfCgdMY3oew,Argyle Square,"001008 - Hatton Wall, Holborn","[{'alias': 'parks', 'title': 'Parks'}]",3.0,
VjETMdfwlAcTenBK9PE-zw,Russell Park,"001008 - Hatton Wall, Holborn","[{'alias': 'parks', 'title': 'Parks'}]",5.0,
ZxE-xcISKLCXbpleS4GBNQ,Postman's Park,"001008 - Hatton Wall, Holborn","[{'alias': 'parks', 'title': 'Parks'}]",4.5,
ngeXAPaOMzK8IEFqYl81cA,Charterhouse Square,"001008 - Hatton Wall, Holborn","[{'alias': 'parks', 'title': 'Parks'}]",3.5,
mvs07Hrm2YrwObqDubABFg,St. Paul's Cathedral,"001008 - Hatton Wall, Holborn","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'churches', 'title': 'Churches'}]",4.5,
baUQ1QPNJHbA5m7OtAKBPg,Red Lion Square Gardens,"001008 - Hatton Wall, Holborn","[{'alias': 'parks', 'title': 'Parks'}]",3.0,
-aZ6-Z5tG84sz9nWlNsesQ,Myddelton Square Park,"001008 - Hatton Wall, Holborn","[{'alias': 'parks', 'title': 'Parks'}]",3.0,
8aXwdJm4xyxCdEDgQBJpfQ,Lend Lease Bluewater Park,"001008 - Hatton Wall, Holborn","[{'alias': 'professional', 'title': 'Professional Services'}, {'alias': 'parks', 'title': 'Parks'}]",4.0,
oMsnFxtMvVgEM0l5ktF2iQ,City Of London,"001008 - Hatton Wall, Holborn","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",5.0,
l5U5vvp7UAmelnIveTEe5A,Hayes End Community Park,"001008 - Hatton Wall, Holborn","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
zdHghDU5M_D-8Ud9bOYXug,Paternoster Square,"001008 - Hatton Wall, Holborn","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",3.0,
V9NeIkbQchmDBTMyRKaKTA,Red Lion Square,"001008 - Hatton Wall, Holborn","[{'alias': 'parks', 'title': 'Parks'}]",2.5,
zDqHE3mImlqxn8jgtmxG0Q,Northampton Square Garden,"001008 - Hatton Wall, Holborn","[{'alias': 'parks', 'title': 'Parks'}]",5.0,
mAqrs8IPOi6abaa1fx9-ug,Kings Square Gardens,"001065 - Aldersgate Street, Barbican","[{'alias': 'parks', 'title': 'Parks'}]",4.5,
So6ZMRwmFimtphlwI5D5og,Fortune Street Park,"001065 - Aldersgate Street, Barbican","[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'playgrounds', 'title': 'Playgrounds'}]",4.0,
KFWQB0Stcu-NCxJoaWU-yA,Spa Fields,"001065 - Aldersgate Street, Barbican","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
Jzayo0zLKptuOmKuMemGnw,Aske Gardens,"001065 - Aldersgate Street, Barbican","[{'alias': 'tennis', 'title': 'Tennis'}, {'alias': 'parks', 'title': 'Parks'}]",5.0,
vhFUOJjcI-3xkoJ_zoJPNQ,West Smithfield Garden,"001065 - Aldersgate Street, Barbican","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
ZxE-xcISKLCXbpleS4GBNQ,Postman's Park,"001065 - Aldersgate Street, Barbican","[{'alias': 'parks', 'title': 'Parks'}]",4.5,
VjETMdfwlAcTenBK9PE-zw,Russell Park,"001065 - Aldersgate Street, Barbican","[{'alias': 'parks', 'title': 'Parks'}]",5.0,
eo1r-U5DgtcLiaoTDC1FDQ,Finsbury Avenue Square,"001065 - Aldersgate Street, Barbican","[{'alias': 'parks', 'title': 'Parks'}]",3.5,
ngeXAPaOMzK8IEFqYl81cA,Charterhouse Square,"001065 - Aldersgate Street, Barbican","[{'alias': 'parks', 'title': 'Parks'}]",3.5,
dae1kZnchtEOBkANdKNSsQ,Finsbury Circus Garden,"001065 - Aldersgate Street, Barbican","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
-9kx0pW2tUZ8gY23O6jTrQ,Radnor Street Gardens,"001065 - Aldersgate Street, Barbican","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
IrRYVfZ1hpyp4Wc1jsRTjA,Bunhill Fields,"001065 - Aldersgate Street, Barbican","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'parks', 'title': 'Parks'}]",4.0,
CohGV9VRkYfJZBT4WO8tZA,Quaker Gardens,"001065 - Aldersgate Street, Barbican","[{'alias': 'parks', 'title': 'Parks'}]",3.0,
mvs07Hrm2YrwObqDubABFg,St. Paul's Cathedral,"001065 - Aldersgate Street, Barbican","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'churches', 'title': 'Churches'}]",4.5,
Qe4_OLJUXOb5cPwPBF3mUQ,Featherstone Street Benches,"001065 - Aldersgate Street, Barbican","[{'alias': 'parks', 'title': 'Parks'}]",3.0,
_vBRaIQ-Is53cZXLFInIIQ,St Alphage's Church Ruins,"001065 - Aldersgate Street, Barbican","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'localflavor', 'title': 'Local Flavor'}]",3.0,
-aZ6-Z5tG84sz9nWlNsesQ,Myddelton Square Park,"001065 - Aldersgate Street, Barbican","[{'alias': 'parks', 'title': 'Parks'}]",3.0,
oMsnFxtMvVgEM0l5ktF2iQ,City Of London,"001065 - Aldersgate Street, Barbican","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",5.0,
zdHghDU5M_D-8Ud9bOYXug,Paternoster Square,"001065 - Aldersgate Street, Barbican","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",3.0,
zDqHE3mImlqxn8jgtmxG0Q,Northampton Square Garden,"001065 - Aldersgate Street, Barbican","[{'alias': 'parks', 'title': 'Parks'}]",5.0,
LC3lv8g8hb8R_VqX1HMO-Q,St James's Park,"001196 - Vincent Square, Westminster","[{'alias': 'parks', 'title': 'Parks'}]",4.5,
v0Egg7HYwUJIYYF8jySDyg,St Georges Square,"001196 - Vincent Square, Westminster","[{'alias': 'parks', 'title': 'Parks'}]",5.0,
ny0HAWuVCfCQ_aGL7IpJ6w,Ebury Square Gardens,"001196 - Vincent Square, Westminster","[{'alias': 'parks', 'title': 'Parks'}]",5.0,
81v2QrDNzaW0eQF02ye2DQ,St James's Park Lake,"001196 - Vincent Square, Westminster","[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'lakes', 'title': 'Lakes'}]",4.5,
bd4mw6pRrFq1xlwDE3hdnQ,St. John's Gardens,"001196 - Vincent Square, Westminster","[{'alias': 'parks', 'title': 'Parks'}]",4.5,
PBW4cqM8VNsNvzYuaGU0jg,Victoria Tower Gardens,"001196 - Vincent Square, Westminster","[{'alias': 'parks', 'title': 'Parks'}]",3.5,
LgapfqYOiX_wPzWm-Lu_nA,Upper and Lower Grosvenor Gardens,"001196 - Vincent Square, Westminster","[{'alias': 'parks', 'title': 'Parks'}]",3.5,
P2FLtbOmyCDCq2Q7g8RGZg,Westminster Abbey,"001196 - Vincent Square, Westminster","[{'alias': 'churches', 'title': 'Churches'}, {'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,
MVyiRNig48ctlQFMS7YFtQ,Buckingham Palace,"001196 - Vincent Square, Westminster","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,
tn1cHecqjs1BPy4UII_4LQ,Wellington Arch,"001196 - Vincent Square, Westminster","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",3.5,
6YOtYWQ9PcYKCfXxu5NjdA,Channel Four Community Gardens,"001196 - Vincent Square, Westminster","[{'alias': 'parks', 'title': 'Parks'}]",5.0,
MwD0_P4DGGipWyyaXgIeKw,Churchill War Rooms,"001196 - Vincent Square, Westminster","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'museums', 'title': 'Museums'}]",4.5,
I3DAQeRdxIfv6_g8tXpt9g,Duck Island Cottage Garden,"001196 - Vincent Square, Westminster","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,
N3k9B1iF7irRV5BlqcItNQ,Big Ben,"001196 - Vincent Square, Westminster","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,
rIH_hNBq3lhGcMJN5krLzA,The State Rooms at Buckingham Palace,"001196 - Vincent Square, Westminster","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'museums', 'title': 'Museums'}]",4.0,
-lkF3GUBJvCjbzLSFbH31w,Houses of Parliament,"001196 - Vincent Square, Westminster","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,
QY8HPYqPdkJTLusebYGS1A,barons court,"001196 - Vincent Square, Westminster","[{'alias': 'parks', 'title': 'Parks'}]",3.0,
HfZBv3YYoNEQ7dNERCmiGQ,Waterloo Millennium Green,"002639 - King Edward Walk, Waterloo","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
rQ3obS8Rkyh4fG73jLbp0Q,Jubilee Gardens,"002639 - King Edward Walk, Waterloo","[{'alias': 'parks', 'title': 'Parks'}]",3.5,
SGPX5LmDX3BKiQUOJ8Ljvg,Whitehall Gardens,"002639 - King Edward Walk, Waterloo","[{'alias': 'parks', 'title': 'Parks'}]",5.0,
8dRL9p4TAuickCWe0_GDMg,House Of VANS London,"002639 - King Edward Walk, Waterloo","[{'alias': 'skate_parks', 'title': 'Skate Parks'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]",3.5,££
3kuHtd_eNiTzL7IZ7BJ2HA,Archbishop's Park Tennis Court,"002639 - King Edward Walk, Waterloo","[{'alias': 'tennis', 'title': 'Tennis'}]",1.0,
F_I04B8dGY4otVs-w67sMg,Mint Street Adventure Playground,"002639 - King Edward Walk, Waterloo","[{'alias': 'arts', 'title': 'Arts & Entertainment'}, {'alias': 'playgrounds', 'title': 'Playgrounds'}]",3.0,
I58p4I5JY4nZEPXUsPOGlQ,St. Johns Church,"002639 - King Edward Walk, Waterloo","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,
NPAkaFjtmDC8IKC60u5PAw,Coca Cola London Eye,"002639 - King Edward Walk, Waterloo","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,
YYQbzB6GH4Hww8NEL4FPiQ,Thames Barrier,"002639 - King Edward Walk, Waterloo","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",3.0,
ryvA9WUmgpIXmIWxcrCYYg,Millennium Green,"002639 - King Edward Walk, Waterloo","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
em6CvtejoGYOEvah9rcnxA,Allen Gardens,"200244 - Hollybush Gardens, Bethnal Green","[{'alias': 'parks', 'title': 'Parks'}]",5.0,
WJIt9tzjU6Ei_6S1JS-Eag,Vallance Gardens,"200244 - Hollybush Gardens, Bethnal Green","[{'alias': 'parks', 'title': 'Parks'}]",3.0,
zCq9Wa9NDtJ-zzlRhOEYtQ,Haggerston Park,"200244 - Hollybush Gardens, Bethnal Green","[{'alias': 'parks', 'title': 'Parks'}]",4.5,
2CdRklaSNid3HcYn8d1NIQ,Weavers Fields,"200244 - Hollybush Gardens, Bethnal Green","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
