fsq_id,location,poi_type
62160b33307675542005dca8,"300248 - Sopwith Way, Battersea Park",['Juice Bar']
4ac518cef964a52015a620e3,"300248 - Sopwith Way, Battersea Park",['Park']
55ffbd1c498ef9c1048d1a71,"300248 - Sopwith Way, Battersea Park",['Plaza']
6308d91d59d2c3662cc69137,"300248 - Sopwith Way, Battersea Park",['Grocery Store / Supermarket']
4c6fd686df6b8cfa813bb64d,"300248 - Sopwith Way, Battersea Park","['Wine Bar', 'Greek Restaurant', 'Italian Restaurant']"
59b3f80b58002c759bdb685e,"300248 - Sopwith Way, Battersea Park",['Playground']
579f2935498e5c380c4c1035,"300248 - Sopwith Way, Battersea Park",['Bus Stop']
4e0f54a27d8bb178a8b1cd1d,"300248 - Sopwith Way, Battersea Park",['Outdoor Gym']
56fea29b498e622e452c9d1c,"300248 - Sopwith Way, Battersea Park",['Bus Stop']
4e7de54155030a6664cd964e,"300248 - Sopwith Way, Battersea Park",['Harbor / Marina']
5639098fcd10e01cdc3be4ef,"001197 - Sackville Street, Mayfair",['Cantonese Restaurant']
4faec53de4b03b805518b6f2,"001197 - Sackville Street, Mayfair","['Eastern European Restaurant', 'French Restaurant']"
61093a7bb5b902006403581e,"001197 - Sackville Street, Mayfair",['Modern European Restaurant']
62da5ff1ae3cf0256a220807,"001197 - Sackville Street, Mayfair",['Park']
4f3cc94aa17c8a4ed1da8c53,"001197 - Sackville Street, Mayfair",['Parking']
4db3c899a86e8d2707786e4e,"001197 - Sackville Street, Mayfair",['Restaurant']
4ac518b4f964a52072a020e3,"001197 - Sackville Street, Mayfair",['Hotel']
4ac518b9f964a520b0a120e3,"001197 - Sackville Street, Mayfair",['American Restaurant']
4ac518b5f964a5208ca020e3,"001197 - Sackville Street, Mayfair",['Lodging']
5188da98498ee426264ceddd,"001197 - Sackville Street, Mayfair",['Office']
4d066dd954d0236aaf3cf9d5,"300094 - Plough Terrace, Clapham Junction",['Grocery Store / Supermarket']
54d77a21498e92bf4aa0a917,"300094 - Plough Terrace, Clapham Junction","['Coffee Shop', 'Restaurant']"
520cfa0b11d23d6d80cdb5af,"300094 - Plough Terrace, Clapham Junction",['Furniture and Home Store']
5651e8a1498e6f7382d7b81c,"300094 - Plough Terrace, Clapham Junction",['Hair Salon']
4c1fa43c920076b03512c5e9,"300094 - Plough Terrace, Clapham Junction",['Grocery Store / Supermarket']
5c9131644a7aae002cd1fc27,"300094 - Plough Terrace, Clapham Junction",['Gym and Studio']
5891e8caf68d8d7fbe878c72,"300094 - Plough Terrace, Clapham Junction",['Yoga Studio']
5c9396549411f2002b5fbfce,"300094 - Plough Terrace, Clapham Junction",['Dining and Drinking']
62c4763fcbe28a224e136c41,"300094 - Plough Terrace, Clapham Junction",['Bakery']
59f8d058135b397611191d0b,"300094 - Plough Terrace, Clapham Junction","['Cocktail Bar', 'Café', 'Restaurant']"
4be1d7b8ae55a593bfbb5b62,"200008 - Portman Square, Marylebone",['Resort']
52bc74c7498e894d9724b34f,"200008 - Portman Square, Marylebone",['Lounge']
4d4481964e5d3704cf68ec93,"200008 - Portman Square, Marylebone","['Tea Room', 'Restaurant']"
510a9043e4b053a9d5ebeeb9,"200008 - Portman Square, Marylebone","[""Children's Clothing Store"", 'Clothing Store', ""Men's Store""]"
508aa5f6e4b06da58179a9f0,"200008 - Portman Square, Marylebone",['Parking']
4bc81e8792b376b0faea503a,"200008 - Portman Square, Marylebone",['Car Dealership']
4bee69693686c9b69d7d246e,"200008 - Portman Square, Marylebone","['Automotive Repair Shop', 'Car Dealership']"
50896c8be4b0f94297081043,"200008 - Portman Square, Marylebone",['Coffee Shop']
4ac518f6f964a5207faf20e3,"200008 - Portman Square, Marylebone",['Spa']
5991ed70d7627e6616b0c969,"200008 - Portman Square, Marylebone",['Swimming Pool']
51570f99e4b0edb00d5ca339,"300031 - Islington Green, Angel",['Barbershop']
4bd6fb97637ba5938302f970,"300031 - Islington Green, Angel",['Barbershop']
52a2fc0311d26973a0ad4f55,"300031 - Islington Green, Angel","['Cheese Store', 'Grocery Store / Supermarket']"
57af2111498e004a34273815,"300031 - Islington Green, Angel",['Gym and Studio']
500db2c5e4b0ddfaa8059f41,"300031 - Islington Green, Angel","['Bar', 'Gastropub']"
4b556900f964a520a7e327e3,"300031 - Islington Green, Angel","['Bar', 'Mediterranean Restaurant']"
4ac518dff964a520eca920e3,"300031 - Islington Green, Angel",['French Restaurant']
4e83567be5fa5681e8b8f24a,"300031 - Islington Green, Angel",['Barbershop']
5c10c086a0215b002cbf9ae9,"300031 - Islington Green, Angel",['Dining and Drinking']
5468b0e5498ea57568c82d60,"300031 - Islington Green, Angel","['Bar', 'American Restaurant', 'Steakhouse']"
57d88315498e6930330ec195,"200108 - Bishop's Bridge Road East, Bayswater",['Hotel']
5375c48e498ee240e0bde532,"200108 - Bishop's Bridge Road East, Bayswater",['Hotel']
4ac518b6f964a52011a120e3,"200108 - Bishop's Bridge Road East, Bayswater",['Hotel']
4ac518f8f964a520f4af20e3,"200108 - Bishop's Bridge Road East, Bayswater",['Stable']
50a2d278e4b08a3c648cb7d0,"200108 - Bishop's Bridge Road East, Bayswater",['Landmarks and Outdoors']
4df46d4dfa76abc3d8706f12,"200108 - Bishop's Bridge Road East, Bayswater",['Parking']
5287c68c498eec9fc973c180,"200108 - Bishop's Bridge Road East, Bayswater",['Hotel']
4ac518b6f964a520dba020e3,"200108 - Bishop's Bridge Road East, Bayswater",['Hotel']
4b7d19bdf964a52098ae2fe3,"200108 - Bishop's Bridge Road East, Bayswater",['Hotel']
51674183e4b0dfab1dda2df1,"200108 - Bishop's Bridge Road East, Bayswater",['Hotel']
57f96fa0498e83e376acb2c9,"001153 - Pall Mall East, West End",['Parking']
4faec53de4b03b805518b6f2,"001153 - Pall Mall East, West End","['Eastern European Restaurant', 'French Restaurant']"
4e32d0df18a846d7ed0bae37,"001153 - Pall Mall East, West End",['Public Art']
5639098fcd10e01cdc3be4ef,"001153 - Pall Mall East, West End",['Cantonese Restaurant']
4e58fe2fb0fbdca309f6b710,"001153 - Pall Mall East, West End",['Playground']
4baf7ed7f964a52095043ce3,"001153 - Pall Mall East, West End",['Skate Park']
61093a7bb5b902006403581e,"001153 - Pall Mall East, West End",['Modern European Restaurant']
eb0a5174602e41fd8cc173db,"001153 - Pall Mall East, West End",['Parking']
bd2504c53dab4ab9e1bc3ff8,"001153 - Pall Mall East, West End",['Parking']
50dbb5d645b143d58d2450be,"001153 - Pall Mall East, West End",[]
4ad3be62f964a52012e620e3,"200253 - Fore Street, Guildhall",['Park']
4cbe90c27dc9a093adcd33f5,"200253 - Fore Street, Guildhall",['Parking']
4bcc44fc937ca593e3c3aa92,"200253 - Fore Street, Guildhall",['Park']
0c5b99073e0f46ab6f6d8c28,"200253 - Fore Street, Guildhall",['Park']
2e4350d32944417dd824f37f,"200253 - Fore Street, Guildhall",['Hotel']
4bd41374a23d43005a1a63ab,"200253 - Fore Street, Guildhall",['Real Estate Agency']
b96ec00b822a430322ec1b0b,"200253 - Fore Street, Guildhall",['Business and Professional Services']
4dac47518154abafc2d3c948,"200253 - Fore Street, Guildhall",['Park']
28339ae30f014aae9614bb2f,"200253 - Fore Street, Guildhall",['Attorney / Law Office']
4d87540c5e70224b72224709,"200253 - Fore Street, Guildhall",['Parking']
4ad3be62f964a52012e620e3,"001092 - Moorfields, Moorgate",['Park']
4bcc44fc937ca593e3c3aa92,"001092 - Moorfields, Moorgate",['Park']
4cbe90c27dc9a093adcd33f5,"001092 - Moorfields, Moorgate",['Parking']
2e4350d32944417dd824f37f,"001092 - Moorfields, Moorgate",['Hotel']
0c5b99073e0f46ab6f6d8c28,"001092 - Moorfields, Moorgate",['Park']
4dac47518154abafc2d3c948,"001092 - Moorfields, Moorgate",['Park']
f2793ed69cf845a4d7c6827c,"001092 - Moorfields, Moorgate",['Parking']
4d87540c5e70224b72224709,"001092 - Moorfields, Moorgate",['Parking']
73109d357af14f0b08a911db,"001092 - Moorfields, Moorgate",[]
4b9ac811f964a52015d535e3,"001092 - Moorfields, Moorgate",['Parking']
5cf56b9ca2c00b002ce1c48d,"000964 - Bath Street, St. Luke's","['Bar', 'Restaurant']"
51c705065019f88f4bbe1232,"000964 - Bath Street, St. Luke's","['Wine Bar', 'Coffee Shop', 'Restaurant']"
5a97cbc3cad1b6446890403b,"000964 - Bath Street, St. Luke's","['Café', 'Restaurant']"
4ad3b332f964a520b9e520e3,"000964 - Bath Street, St. Luke's",['Pub']
5653418e498e5b9502b95888,"000964 - Bath Street, St. Luke's","['Coffee Shop', 'Restaurant']"
