location,poi_type,Type,latitude,longitude,free_bikes
"300248 - Sopwith Way, Battersea Park",['Juice Bar'],Park,51.4811219398,-0.149035374873,19
"300248 - Sopwith Way, Battersea Park",['Park'],Park,51.4811219398,-0.149035374873,19
"300248 - Sopwith Way, Battersea Park",['Plaza'],Park,51.4811219398,-0.149035374873,19
"300248 - Sopwith Way, Battersea Park",['Grocery Store / Supermarket'],Park,51.4811219398,-0.149035374873,19
"300248 - Sopwith Way, Battersea Park","['Wine Bar', 'Greek Restaurant', 'Italian Restaurant']",Park,51.4811219398,-0.149035374873,19
"300248 - Sopwith Way, Battersea Park",['Playground'],Park,51.4811219398,-0.149035374873,19
"300248 - Sopwith Way, Battersea Park",['Bus Stop'],Park,51.4811219398,-0.149035374873,19
"300248 - Sopwith Way, Battersea Park",['Outdoor Gym'],Park,51.4811219398,-0.149035374873,19
"300248 - Sopwith Way, Battersea Park",['Bus Stop'],Park,51.4811219398,-0.149035374873,19
"300248 - Sopwith Way, Battersea Park",['Harbor / Marina'],Park,51.4811219398,-0.149035374873,19
"001197 - Sackville Street, Mayfair",['Cantonese Restaurant'],Park,51.51004801,-0.138846453,12
"001197 - Sackville Street, Mayfair","['Eastern European Restaurant', 'French Restaurant']",Park,51.51004801,-0.138846453,12
"001197 - Sackville Street, Mayfair",['Modern European Restaurant'],Park,51.51004801,-0.138846453,12
"001197 - Sackville Street, Mayfair",['Park'],Park,51.51004801,-0.138846453,12
"001197 - Sackville Street, Mayfair",['Parking'],Park,51.51004801,-0.138846453,12
"001197 - Sackville Street, Mayfair",['Restaurant'],Park,51.51004801,-0.138846453,12
"001197 - Sackville Street, Mayfair",['Hotel'],Park,51.51004801,-0.138846453,12
"001197 - Sackville Street, Mayfair",['American Restaurant'],Park,51.51004801,-0.138846453,12
"001197 - Sackville Street, Mayfair",['Lodging'],Park,51.51004801,-0.138846453,12
"001197 - Sackville Street, Mayfair",['Office'],Park,51.51004801,-0.138846453,12
"300094 - Plough Terrace, Clapham Junction",['Grocery Store / Supermarket'],Park,51.46230566,-0.175407201,4
"300094 - Plough Terrace, Clapham Junction","['Coffee Shop', 'Restaurant']",Park,51.46230566,-0.175407201,4
"300094 - Plough Terrace, Clapham Junction",['Furniture and Home Store'],Park,51.46230566,-0.175407201,4
"300094 - Plough Terrace, Clapham Junction",['Hair Salon'],Park,51.46230566,-0.175407201,4
"300094 - Plough Terrace, Clapham Junction",['Grocery Store / Supermarket'],Park,51.46230566,-0.175407201,4
"300094 - Plough Terrace, Clapham Junction",['Gym and Studio'],Park,51.46230566,-0.175407201,4
"300094 - Plough Terrace, Clapham Junction",['Yoga Studio'],Park,51.46230566,-0.175407201,4
"300094 - Plough Terrace, Clapham Junction",['Dining and Drinking'],Park,51.46230566,-0.175407201,4
"300094 - Plough Terrace, Clapham Junction",['Bakery'],Park,51.46230566,-0.175407201,4
"300094 - Plough Terrace, Clapham Junction","['Cocktail Bar', 'Café', 'Restaurant']",Park,51.46230566,-0.175407201,4
"200008 - Portman Square, Marylebone",['Resort'],Park,51.516204,-0.155525,10
"200008 - Portman Square, Marylebone",['Lounge'],Park,51.516204,-0.155525,10
"200008 - Portman Square, Marylebone","['Tea Room', 'Restaurant']",Park,51.516204,-0.155525,10
"200008 - Portman Square, Marylebone","[""Children's Clothing Store"", 'Clothing Store', ""Men's Store""]",Park,51.516204,-0.155525,10
"200008 - Portman Square, Marylebone",['Parking'],Park,51.516204,-0.155525,10
"200008 - Portman Square, Marylebone",['Car Dealership'],Park,51.516204,-0.155525,10
"200008 - Portman Square, Marylebone","['Automotive Repair Shop', 'Car Dealership']",Park,51.516204,-0.155525,10
"200008 - Portman Square, Marylebone",['Coffee Shop'],Park,51.516204,-0.155525,10
"200008 - Portman Square, Marylebone",['Spa'],Park,51.516204,-0.155525,10
"200008 - Portman Square, Marylebone",['Swimming Pool'],Park,51.516204,-0.155525,10
"300031 - Islington Green, Angel",['Barbershop'],Park,51.53638435,-0.102757578,10
"300031 - Islington Green, Angel",['Barbershop'],Park,51.53638435,-0.102757578,10
"300031 - Islington Green, Angel","['Cheese Store', 'Grocery Store / Supermarket']",Park,51.53638435,-0.102757578,10
"300031 - Islington Green, Angel",['Gym and Studio'],Park,51.53638435,-0.102757578,10
"300031 - Islington Green, Angel","['Bar', 'Gastropub']",Park,51.53638435,-0.102757578,10
"300031 - Islington Green, Angel","['Bar', 'Mediterranean Restaurant']",Park,51.53638435,-0.102757578,10
"300031 - Islington Green, Angel",['French Restaurant'],Park,51.53638435,-0.102757578,10
"300031 - Islington Green, Angel",['Barbershop'],Park,51.53638435,-0.102757578,10
"300031 - Islington Green, Angel",['Dining and Drinking'],Park,51.53638435,-0.102757578,10
"300031 - Islington Green, Angel","['Bar', 'American Restaurant', 'Steakhouse']",Park,51.53638435,-0.102757578,10
"200108 - Bishop's Bridge Road East, Bayswater",['Hotel'],Park,51.5171,-0.18377,8
"200108 - Bishop's Bridge Road East, Bayswater",['Hotel'],Park,51.5171,-0.18377,8
"200108 - Bishop's Bridge Road East, Bayswater",['Hotel'],Park,51.5171,-0.18377,8
"200108 - Bishop's Bridge Road East, Bayswater",['Stable'],Park,51.5171,-0.18377,8
"200108 - Bishop's Bridge Road East, Bayswater",['Landmarks and Outdoors'],Park,51.5171,-0.18377,8
"200108 - Bishop's Bridge Road East, Bayswater",['Parking'],Park,51.5171,-0.18377,8
"200108 - Bishop's Bridge Road East, Bayswater",['Hotel'],Park,51.5171,-0.18377,8
"200108 - Bishop's Bridge Road East, Bayswater",['Hotel'],Park,51.5171,-0.18377,8
"200108 - Bishop's Bridge Road East, Bayswater",['Hotel'],Park,51.5171,-0.18377,8
"200108 - Bishop's Bridge Road East, Bayswater",['Hotel'],Park,51.5171,-0.18377,8
"001153 - Pall Mall East, West End",['Parking'],Park,51.50777049,-0.130699733,22
"001153 - Pall Mall East, West End","['Eastern European Restaurant', 'French Restaurant']",Park,51.50777049,-0.130699733,22
"001153 - Pall Mall East, West End",['Public Art'],Park,51.50777049,-0.130699733,22
"001153 - Pall Mall East, West End",['Cantonese Restaurant'],Park,51.50777049,-0.130699733,22
"001153 - Pall Mall East, West End",['Playground'],Park,51.50777049,-0.130699733,22
"001153 - Pall Mall East, West End",['Skate Park'],Park,51.50777049,-0.130699733,22
"001153 - Pall Mall East, West End",['Modern European Restaurant'],Park,51.50777049,-0.130699733,22
"001153 - Pall Mall East, West End",['Parking'],Park,51.50777049,-0.130699733,22
"001153 - Pall Mall East, West End",['Parking'],Park,51.50777049,-0.130699733,22
"001153 - Pall Mall East, West End",[],Park,51.50777049,-0.130699733,22
"200253 - Fore Street, Guildhall",['Park'],Park,51.517842,-0.090075,0
"200253 - Fore Street, Guildhall",['Parking'],Park,51.517842,-0.090075,0
"200253 - Fore Street, Guildhall",['Park'],Park,51.517842,-0.090075,0
"200253 - Fore Street, Guildhall",['Park'],Park,51.517842,-0.090075,0
"200253 - Fore Street, Guildhall",['Hotel'],Park,51.517842,-0.090075,0
"200253 - Fore Street, Guildhall",['Real Estate Agency'],Park,51.517842,-0.090075,0
"200253 - Fore Street, Guildhall",['Business and Professional Services'],Park,51.517842,-0.090075,0
"200253 - Fore Street, Guildhall",['Park'],Park,51.517842,-0.090075,0
"200253 - Fore Street, Guildhall",['Attorney / Law Office'],Park,51.517842,-0.090075,0
"200253 - Fore Street, Guildhall",['Parking'],Park,51.517842,-0.090075,0
"001092 - Moorfields, Moorgate",['Park'],Park,51.51906932,-0.088285377,31
"001092 - Moorfields, Moorgate",['Park'],Park,51.51906932,-0.088285377,31
"001092 - Moorfields, Moorgate",['Parking'],Park,51.51906932,-0.088285377,31
"001092 - Moorfields, Moorgate",['Hotel'],Park,51.51906932,-0.088285377,31
"001092 - Moorfields, Moorgate",['Park'],Park,51.51906932,-0.088285377,31
"001092 - Moorfields, Moorgate",['Park'],Park,51.51906932,-0.088285377,31
"001092 - Moorfields, Moorgate",['Parking'],Park,51.51906932,-0.088285377,31
"001092 - Moorfields, Moorgate",['Parking'],Park,51.51906932,-0.088285377,31
"001092 - Moorfields, Moorgate",[],Park,51.51906932,-0.088285377,31
"001092 - Moorfields, Moorgate",['Parking'],Park,51.51906932,-0.088285377,31
"000964 - Bath Street, St. Luke's","['Bar', 'Restaurant']",Park,51.52589324,-0.090847761,11
"000964 - Bath Street, St. Luke's","['Wine Bar', 'Coffee Shop', 'Restaurant']",Park,51.52589324,-0.090847761,11
"000964 - Bath Street, St. Luke's","['Café', 'Restaurant']",Park,51.52589324,-0.090847761,11
"000964 - Bath Street, St. Luke's",['Pub'],Park,51.52589324,-0.090847761,11
"000964 - Bath Street, St. Luke's","['Coffee Shop', 'Restaurant']",Park,51.52589324,-0.090847761,11
"000964 - Bath Street, St. Luke's",['Food Truck'],Park,51.52589324,-0.090847761,11
"000964 - Bath Street, St. Luke's",['Park'],Park,51.52589324,-0.090847761,11
"000964 - Bath Street, St. Luke's",['Park'],Park,51.52589324,-0.090847761,11
"000964 - Bath Street, St. Luke's",['Park'],Park,51.52589324,-0.090847761,11
"000964 - Bath Street, St. Luke's",['Park'],Park,51.52589324,-0.090847761,11
"001028 - William IV Street, Strand",['Skate Park'],Park,51.50946212,-0.124749274,21
"001028 - William IV Street, Strand",['Swimming Pool'],Park,51.50946212,-0.124749274,21
"001028 - William IV Street, Strand",['Parking'],Park,51.50946212,-0.124749274,21
"001028 - William IV Street, Strand",['Parking'],Park,51.50946212,-0.124749274,21
"001028 - William IV Street, Strand",['Parking'],Park,51.50946212,-0.124749274,21
"001028 - William IV Street, Strand",['Immigration Attorney'],Park,51.50946212,-0.124749274,21
"001028 - William IV Street, Strand",['Modern European Restaurant'],Park,51.50946212,-0.124749274,21
"001028 - William IV Street, Strand",['Camera Store'],Park,51.50946212,-0.124749274,21
"001028 - William IV Street, Strand",['Public Art'],Park,51.50946212,-0.124749274,21
"001028 - William IV Street, Strand",['Travel Agency'],Park,51.50946212,-0.124749274,21
"003507 - Store Street, Bloomsbury",['Burger Joint'],Park,51.519572,-0.13214036,1
"003507 - Store Street, Bloomsbury",['Camera Store'],Park,51.519572,-0.13214036,1
"003507 - Store Street, Bloomsbury",['Swimming Pool'],Park,51.519572,-0.13214036,1
"003507 - Store Street, Bloomsbury",['Hotel'],Park,51.519572,-0.13214036,1
"003507 - Store Street, Bloomsbury",['Park'],Park,51.519572,-0.13214036,1
"003507 - Store Street, Bloomsbury",['Business and Professional Services'],Park,51.519572,-0.13214036,1
"003507 - Store Street, Bloomsbury",['Parking'],Park,51.519572,-0.13214036,1
"003507 - Store Street, Bloomsbury",['Lodging'],Park,51.519572,-0.13214036,1
"003507 - Store Street, Bloomsbury",['Parking'],Park,51.519572,-0.13214036,1
"003507 - Store Street, Bloomsbury",['Clothing Store'],Park,51.519572,-0.13214036,1
"200184 - Erin Close, Walham Green",['Hair Salon'],Park,51.47946386,-0.195777222,19
"200184 - Erin Close, Walham Green","['Wine Bar', 'Coffee Shop', 'Tapas Restaurant']",Park,51.47946386,-0.195777222,19
"200184 - Erin Close, Walham Green",['Rock Climbing Spot'],Park,51.47946386,-0.195777222,19
"200184 - Erin Close, Walham Green","['Fish and Chips Shop', 'Fast Food Restaurant']",Park,51.47946386,-0.195777222,19
"200184 - Erin Close, Walham Green","['Wine Bar', 'Restaurant']",Park,51.47946386,-0.195777222,19
"200184 - Erin Close, Walham Green",['Pub'],Park,51.47946386,-0.195777222,19
"200184 - Erin Close, Walham Green","['Cheese Store', 'Gourmet Store', 'Grocery Store / Supermarket']",Park,51.47946386,-0.195777222,19
"200184 - Erin Close, Walham Green",['Fish and Chips Shop'],Park,51.47946386,-0.195777222,19
"200184 - Erin Close, Walham Green",['Hair Salon'],Park,51.47946386,-0.195777222,19
"200184 - Erin Close, Walham Green",['Real Estate Agency'],Park,51.47946386,-0.195777222,19
"003447 - Gloucester Road (North), Kensington",['Hotel'],Park,51.49792478,-0.183834706,4
"003447 - Gloucester Road (North), Kensington",['Hotel'],Park,51.49792478,-0.183834706,4
"003447 - Gloucester Road (North), Kensington","['Hostel', 'Hotel']",Park,51.49792478,-0.183834706,4
"003447 - Gloucester Road (North), Kensington",['Museum'],Park,51.49792478,-0.183834706,4
"003447 - Gloucester Road (North), Kensington",['Restaurant'],Park,51.49792478,-0.183834706,4
"003447 - Gloucester Road (North), Kensington",['Landmarks and Outdoors'],Park,51.49792478,-0.183834706,4
"003447 - Gloucester Road (North), Kensington",['Bed and Breakfast'],Park,51.49792478,-0.183834706,4
"003447 - Gloucester Road (North), Kensington",['Hotel'],Park,51.49792478,-0.183834706,4
"003447 - Gloucester Road (North), Kensington",['Residential Building'],Park,51.49792478,-0.183834706,4
"003447 - Gloucester Road (North), Kensington",['Office Building'],Park,51.49792478,-0.183834706,4
"300074 - Newton Street, Covent Garden",['History Museum'],Park,51.51612862,-0.120909408,23
