name,location,categories,rating,price,Type,latitude,longitude,free_bikes
Battersea Park,"300248 - Sopwith Way, Battersea Park","[{'alias': 'parks', 'title': 'Parks'}]",4.5,,Park,51.4811219398,-0.149035374873,19
St Georges Square,"300248 - Sopwith Way, Battersea Park","[{'alias': 'parks', 'title': 'Parks'}]",5.0,,Park,51.4811219398,-0.149035374873,19
Chelsea Physic Garden,"300248 - Sopwith Way, Battersea Park","[{'alias': 'gardens', 'title': 'Botanical Gardens'}]",4.5,,Park,51.4811219398,-0.149035374873,19
Battersea Power Station,"300248 - Sopwith Way, Battersea Park","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,,Park,51.4811219398,-0.149035374873,19
Chelsea Bridge,"300248 - Sopwith Way, Battersea Park","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",5.0,,Park,51.4811219398,-0.149035374873,19
The Chelsea Flower Show,"300248 - Sopwith Way, Battersea Park","[{'alias': 'gardens', 'title': 'Botanical Gardens'}]",4.0,,Park,51.4811219398,-0.149035374873,19
Battersea Park,"300248 - Sopwith Way, Battersea Park","[{'alias': 'parks', 'title': 'Parks'}]",4.0,,Park,51.4811219398,-0.149035374873,19
Imperial Camel Corps Memorial,"300248 - Sopwith Way, Battersea Park","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,,Park,51.4811219398,-0.149035374873,19
Pimlico Gardens,"300248 - Sopwith Way, Battersea Park","[{'alias': 'parks', 'title': 'Parks'}]",3.0,,Park,51.4811219398,-0.149035374873,19
Hyde Park,"001197 - Sackville Street, Mayfair","[{'alias': 'parks', 'title': 'Parks'}]",4.5,,Park,51.51004801,-0.138846453,12
Green Park,"001197 - Sackville Street, Mayfair","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'parks', 'title': 'Parks'}]",4.0,,Park,51.51004801,-0.138846453,12
St James's Park,"001197 - Sackville Street, Mayfair","[{'alias': 'parks', 'title': 'Parks'}]",4.5,,Park,51.51004801,-0.138846453,12
Aquadrome,"001197 - Sackville Street, Mayfair","[{'alias': 'lakes', 'title': 'Lakes'}]",4.0,,Park,51.51004801,-0.138846453,12
Golden Square,"001197 - Sackville Street, Mayfair","[{'alias': 'parks', 'title': 'Parks'}]",3.5,,Park,51.51004801,-0.138846453,12
Soho Square,"001197 - Sackville Street, Mayfair","[{'alias': 'parks', 'title': 'Parks'}]",3.5,,Park,51.51004801,-0.138846453,12
Mount Street Gardens,"001197 - Sackville Street, Mayfair","[{'alias': 'parks', 'title': 'Parks'}]",4.5,,Park,51.51004801,-0.138846453,12
St James Square,"001197 - Sackville Street, Mayfair","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,,Park,51.51004801,-0.138846453,12
Grosvenor Square,"001197 - Sackville Street, Mayfair","[{'alias': 'parks', 'title': 'Parks'}]",5.0,,Park,51.51004801,-0.138846453,12
South Bank Skate Park,"001197 - Sackville Street, Mayfair","[{'alias': 'skate_parks', 'title': 'Skate Parks'}]",4.0,,Park,51.51004801,-0.138846453,12
Piccadilly Circus,"001197 - Sackville Street, Mayfair","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,,Park,51.51004801,-0.138846453,12
Berkeley Square,"001197 - Sackville Street, Mayfair","[{'alias': 'parks', 'title': 'Parks'}]",4.0,,Park,51.51004801,-0.138846453,12
Leicester Square Gardens,"001197 - Sackville Street, Mayfair","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",3.5,,Park,51.51004801,-0.138846453,12
Trafalgar Square,"001197 - Sackville Street, Mayfair","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,,Park,51.51004801,-0.138846453,12
Cavendish Square,"001197 - Sackville Street, Mayfair","[{'alias': 'parks', 'title': 'Parks'}]",4.0,,Park,51.51004801,-0.138846453,12
Bloomsbury Square Gardens,"001197 - Sackville Street, Mayfair","[{'alias': 'parks', 'title': 'Parks'}]",3.5,,Park,51.51004801,-0.138846453,12
Buckingham Palace,"001197 - Sackville Street, Mayfair","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,,Park,51.51004801,-0.138846453,12
Leicester Square,"001197 - Sackville Street, Mayfair","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,,Park,51.51004801,-0.138846453,12
Spencer House,"001197 - Sackville Street, Mayfair","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",3.5,,Park,51.51004801,-0.138846453,12
Wellington Arch,"001197 - Sackville Street, Mayfair","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",3.5,,Park,51.51004801,-0.138846453,12
Falcon Glade,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'parks', 'title': 'Parks'}]",4.0,,Park,51.46230566,-0.175407201,4
Falcon Park,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'parks', 'title': 'Parks'}]",3.0,,Park,51.46230566,-0.175407201,4
Wandsworth Common,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'parks', 'title': 'Parks'}]",4.5,,Park,51.46230566,-0.175407201,4
Shillington Park,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'playgrounds', 'title': 'Playgrounds'}]",4.0,,Park,51.46230566,-0.175407201,4
Spencer Park,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'parks', 'title': 'Parks'}]",4.5,,Park,51.46230566,-0.175407201,4
Paddington Street Gardens,"200008 - Portman Square, Marylebone","[{'alias': 'parks', 'title': 'Parks'}]",4.0,,Park,51.516204,-0.155525,10
Grosvenor Square,"200008 - Portman Square, Marylebone","[{'alias': 'parks', 'title': 'Parks'}]",5.0,,Park,51.516204,-0.155525,10
Mount Street Gardens,"200008 - Portman Square, Marylebone","[{'alias': 'parks', 'title': 'Parks'}]",4.5,,Park,51.516204,-0.155525,10
Cavendish Square,"200008 - Portman Square, Marylebone","[{'alias': 'parks', 'title': 'Parks'}]",4.0,,Park,51.516204,-0.155525,10
Manchester Square,"200008 - Portman Square, Marylebone","[{'alias': 'parks', 'title': 'Parks'}]",4.0,,Park,51.516204,-0.155525,10
Brown Hart Gardens,"200008 - Portman Square, Marylebone","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'parks', 'title': 'Parks'}]",4.0,,Park,51.516204,-0.155525,10
Berkeley Square,"200008 - Portman Square, Marylebone","[{'alias': 'parks', 'title': 'Parks'}]",4.0,,Park,51.516204,-0.155525,10
Animals In War Memorial,"200008 - Portman Square, Marylebone","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,,Park,51.516204,-0.155525,10
Marble Arch,"200008 - Portman Square, Marylebone","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",3.5,,Park,51.516204,-0.155525,10
Hanover Square,"200008 - Portman Square, Marylebone","[{'alias': 'parks', 'title': 'Parks'}]",4.5,,Park,51.516204,-0.155525,10
September 11 Memorial Garden,"200008 - Portman Square, Marylebone","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,,Park,51.516204,-0.155525,10
Gibson Square Park,"300031 - Islington Green, Angel","[{'alias': 'parks', 'title': 'Parks'}]",4.5,,Park,51.53638435,-0.102757578,10
