id,name,location,categories,rating,price
kxXUtfDNrDLXAe_-QtGqxA,Battersea Park,"300248 - Sopwith Way, Battersea Park","[{'alias': 'parks', 'title': 'Parks'}]",4.5,
v0Egg7HYwUJIYYF8jySDyg,St Georges Square,"300248 - Sopwith Way, Battersea Park","[{'alias': 'parks', 'title': 'Parks'}]",5.0,
wgI3jPYGKeecEWQXGeQMnQ,Chelsea Physic Garden,"300248 - Sopwith Way, Battersea Park","[{'alias': 'gardens', 'title': 'Botanical Gardens'}]",4.5,
K7XmggRJBDKuDeMe07-z6w,Battersea Power Station,"300248 - Sopwith Way, Battersea Park","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,
tKSzPZxAFZX_XEk1Lt1w5w,Chelsea Bridge,"300248 - Sopwith Way, Battersea Park","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",5.0,
uBSCU3XnXVwpUiihxM5uMg,The Chelsea Flower Show,"300248 - Sopwith Way, Battersea Park","[{'alias': 'gardens', 'title': 'Botanical Gardens'}]",4.0,
JKACa3UwJv6yWOLyho5Gbw,Battersea Park,"300248 - Sopwith Way, Battersea Park","[{'alias': 'parks', 'title': 'Parks'}]",4.0,
jFmXPasxO9TdyUXMuHVn1A,Imperial Camel Corps Memorial,"300248 - Sopwith Way, Battersea Park","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.0,
YVkvpBgGc-jaT9eyvde7qw,Pimlico Gardens,"300248 - Sopwith Way, Battersea Park","[{'alias': 'parks', 'title': 'Parks'}]",3.0,
4VqbGRaYQJakPe2K6jKhOQ,Hyde Park,"001197 - Sackville Street, Mayfair","[{'alias': 'parks', 'title': 'Parks'}]",4.5,
4P9GOnRfKoZiE4ikmLQBiQ,Green Park,"001197 - Sackville Street, Mayfair","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'parks', 'title': 'Parks'}]",4.0,
LC3lv8g8hb8R_VqX1HMO-Q,St James's Park,"001197 - Sackville Street, Mayfair","[{'alias': 'parks', 'title': 'Parks'}]",4.5,
V0dRrSkI46rmsTxcUNcNpw,Aquadrome,"001197 - Sackville Street, Mayfair","[{'alias': 'lakes', 'title': 'Lakes'}]",4.0,
C7MxF-krNW5xskRj_Ej4LQ,Golden Square,"001197 - Sackville Street, Mayfair","[{'alias': 'parks', 'title': 'Parks'}]",3.5,
oUUQ7XnBk9cT_dV9hVPrcQ,Soho Square,"001197 - Sackville Street, Mayfair","[{'alias': 'parks', 'title': 'Parks'}]",3.5,
vhoq5NBy2l6Twqa4f3gNtg,Mount Street Gardens,"001197 - Sackville Street, Mayfair","[{'alias': 'parks', 'title': 'Parks'}]",4.5,
udU_StN8A9DTfJS1TkKKmw,St James Square,"001197 - Sackville Street, Mayfair","[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,
