id,name,location,categories,rating,price
0B6J7rOLjLfqzP3qwi8vAw,Wright Brothers - Battersea,"300248 - Sopwith Way, Battersea Park","[{'alias': 'seafood', 'title': 'Seafood'}]",4.5,
zm8F0kYTZXZ7jxGXw-gVMw,Boqueria,"300248 - Sopwith Way, Battersea Park","[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",4.5,££
4piTf0lU0v2hm3golRXpDg,The Locals Cafe,"300248 - Sopwith Way, Battersea Park","[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'delicatessen', 'title': 'Delicatessen'}]",4.5,
CyVB-PRwv3D8fJ3fGefcCA,The Magic Garden,"300248 - Sopwith Way, Battersea Park","[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]",4.0,££
2RDTgwdRMcJ8zc051Pcfog,Cinnamon Kitchen,"300248 - Sopwith Way, Battersea Park","[{'alias': 'indpak', 'title': 'Indian'}]",5.0,
7213qCRKf_oXVoPaT_IW6A,"Megan's at the Power Station, Battersea","300248 - Sopwith Way, Battersea Park","[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",3.0,
MRW8Uhi76bKNEpNaMlMTkg,Gordon Ramsay Street Pizza - Battersea,"300248 - Sopwith Way, Battersea Park","[{'alias': 'pizza', 'title': 'Pizza'}]",3.0,
Jni6lqc1ytgD_cZRXeX3BQ,The Power Station,"300248 - Sopwith Way, Battersea Park","[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'greek', 'title': 'Greek'}]",5.0,£
brUXtaa3tfA-v9SodWfxyw,San Gennaro,"300248 - Sopwith Way, Battersea Park","[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,££
LQI6ic3v8fidtVdrgri1SA,Fiume,"300248 - Sopwith Way, Battersea Park","[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",3.5,
RzhdwkwizUiegezVAOv-wA,Pear Tree Cafe,"300248 - Sopwith Way, Battersea Park","[{'alias': 'cafes', 'title': 'Cafes'}]",3.5,
wYb0JZQKrEkIVzBW_cr0DA,Chokhi Dhani,"300248 - Sopwith Way, Battersea Park","[{'alias': 'indpak', 'title': 'Indian'}]",5.0,
fknsE8zZ0_sP-n35Z4RRKw,New City,"300248 - Sopwith Way, Battersea Park","[{'alias': 'chinese', 'title': 'Chinese'}]",4.5,££
vBV1unsFnhrPcPA3ClW3DQ,The Lost Angel,"300248 - Sopwith Way, Battersea Park","[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'steak', 'title': 'Steakhouses'}]",4.5,££
tyb6m0fHYljvIfkOP_GzQQ,Mike's Kitchen,"300248 - Sopwith Way, Battersea Park","[{'alias': 'hotdogs', 'title': 'Fast Food'}]",5.0,
